,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
134,311011,Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara,Rajasthan,FALSE
135,845440,Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah,Bihar,FALSE
136,712414,Tarkeshwar_Gopinagar_D (West Bengal),Tarkeshwar_Gopinagar_D (West Bengal),Tarkeshwar_Gopinagar_D (West Bengal),Tarkeshwar,West Bengal,TRUE
137,797117,Dimapur_Sovima_I (Nagaland),Dimapur_Sovima_I (Nagaland),Dimapur_Sovima_I (Nagaland),Dimapur,Nagaland,TRUE
138,230139,LalganjAjhara_HPPump_D (Uttar Pradesh),LalganjAjhara_HPPump_D (Uttar Pradesh),LalganjAjhara_HPPump_D (Uttar Pradesh),Lalganj Ajhara,Uttar Pradesh,TRUE
139,722146,Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura,West Bengal,TRUE
140,627814,Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi,Tamil Nadu,TRUE
141,682313,Kanjiramattom_Piravom_D (Kerala),Kanjiramattom_Piravom_D (Kerala),Kanjiramattom_Piravom_D (Kerala),Kanjiramattom,Kerala,FALSE
142,722161,MirzapurWB_VidyaDPP_D (West Bengal),MirzapurWB_VidyaDPP_D (West Bengal),MirzapurWB_VidyaDPP_D (West Bengal),Mirzapur-WB,West Bengal,TRUE
143,411048,Pune_Holkarwadi_L (Maharashtra),Pune_Holkarwadi_L (Maharashtra),Pune_Holkarwadi_L (Maharashtra),Pune,Maharashtra,FALSE
144,233227,Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur,Uttar Pradesh,TRUE
145,422204,Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik,Maharashtra,TRUE
146,322030,Bonli_Bhadoti_DPP (Rajasthan),Bonli_Bhadoti_DPP (Rajasthan),Bonli_Bhadoti_DPP (Rajasthan),Bonli,Rajasthan,TRUE
147,712513,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,TRUE
148,201011,Ghaziabad_Pasonda_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Ghaziabad_Pasonda_L (Uttar Pradesh),Ghaziabad,Uttar Pradesh,FALSE
